,MXC,PT1,PT2,Still,VaccumeCan,PumpingLine,CompressorOutlet,CompressorInlet,MixtureTank,VentingLine,Compressor1 Input,Compressor1 Output,Compressor2 Input,Compressor2 Output
count,111308.0,111308.0,111308.0,111308.0,111308.0,111308.0,111308.0,111308.0,111308.0,111308.0,111308.0,111308.0,111308.0,111308.0
mean,4344.9724695655295,77223.88731358034,47069.20652513745,49612.42222766558,0.6773890282226794,1.447109132074963,474.20465193151443,613.0251464405075,240.38598672152952,27.220085394221435,18.45696505677939,27.321137174686456,18.549016108186294,26.282778670445964
std,16502.949536906122,85905.81960758887,91759.95480625113,94184.00245366088,25.23582878203235,21.624271626512463,331.21976374359195,185.3876343665196,336.1361584863708,155.0256382200205,1.5789010932327145,5.129376056897334,1.6480236500986643,4.686867987959805
min,0.0,35593.0,3083.6899999999996,725.326,4.47e-06,0.000501,-3.36,18.4,3.87,0.00844,15.38611,15.38833,15.39889,15.35222
25%,9.0202,35874.200000000004,3131.08,899.378,5.51e-06,0.0223,-0.748,638.0,5.22,0.695,17.895,28.08556,18.04167,27.08555
50%,11.5528,36064.4,3141.76,1652.8700000000001,6.37e-06,0.0227,642.0,695.0,5.94,1.79,18.56333,29.23222,18.65833,27.96944
75%,15.2083,52888.4,17855.3,40944.4,1.14e-05,0.0235,689.0,712.0,722.0,3.18,19.28833,29.70889,19.32944,28.45667
max,101971.0,294546.0,295307.0,295659.0,1000.0,524.0,1890.0,1400.0,738.0,1000.0,29.30722,51.29445,30.45222,53.44278
