,MXC_mean,MXC_std,MXC_max,MXC_min,PT1_mean,PT1_std,PT1_max,PT1_min,PT2_mean,PT2_std,PT2_max,PT2_min,Still_mean,Still_std,Still_max,Still_min,VaccumeCan_mean,VaccumeCan_std,VaccumeCan_max,VaccumeCan_min,PumpingLine_mean,PumpingLine_std,PumpingLine_max,PumpingLine_min,CompressorOutlet_mean,CompressorOutlet_std,CompressorOutlet_max,CompressorOutlet_min,CompressorInlet_mean,CompressorInlet_std,CompressorInlet_max,CompressorInlet_min,MixtureTank_mean,MixtureTank_std,MixtureTank_max,MixtureTank_min,VentingLine_mean,VentingLine_std,VentingLine_max,VentingLine_min,Compressor1 Input_mean,Compressor1 Input_std,Compressor1 Input_max,Compressor1 Input_min,Compressor1 Output_mean,Compressor1 Output_std,Compressor1 Output_max,Compressor1 Output_min,Compressor2 Input_mean,Compressor2 Input_std,Compressor2 Input_max,Compressor2 Input_min,Compressor2 Output_mean,Compressor2 Output_std,Compressor2 Output_max,Compressor2 Output_min,Label
86,12.603128266666667,0.025655604996814258,12.6913,12.545,35988.98693333333,7.959080257182144,36008.7,35971.0,3127.079226666667,4.975271849382291,3139.57,3116.73,1652.9448266666668,0.20777133711588178,1653.3700000000001,1652.46,5.531413333333335e-06,4.850642211299267e-08,5.65e-06,5.41e-06,0.023493066666666663,9.246618597964125e-05,0.0237,0.0233,631.6613333333333,5.108695519938793,641.0,620.0,654.848,3.3201798333073107,660.0,648.0,4.999533333333334,0.010586074604068978,5.03,4.97,2.448506666666667,0.023245582340594557,2.49,2.41,17.997370319999998,0.13295582309533333,18.30611,17.63,29.272708400000003,0.20300145325688168,29.995,28.78389,18.148106480000003,0.12271171088963832,18.44222,17.82778,28.010598013333336,0.1881407238904817,28.71444,27.53611,normal
87,12.579993597560977,0.039222029187209635,12.6818,12.5181,36016.012804878046,7.701992716355411,36027.700000000004,35996.200000000004,3131.425426829268,5.660990755249584,3143.05,3116.8999999999996,1653.0778353658538,0.1916256154130693,1653.43,1652.5,5.349420731707317e-06,1.7911599046380506e-07,5.61e-06,4.99e-06,0.023526524390243903,7.819128518663471e-05,0.0236,0.0233,633.8932926829268,5.075354266390222,644.0,621.0,657.3719512195122,3.3330069952882933,662.0,648.0,4.987439024390245,0.01653915569841844,5.03,4.96,2.495670731707317,0.00809961659990223,2.51,2.48,18.421549420731708,0.3814305263413584,19.66111,17.83333,29.62204756097561,0.3674858988887961,30.64389,28.995,18.503114420731706,0.3576869043644062,19.73278,18.02111,28.34309646341463,0.3576269044402325,29.37667,27.74778,small error
88,13.627744712990935,3.4777263478744755,42.418200000000006,12.5308,36047.598992950654,14.070926292422099,36072.5,36015.3,3133.087502517623,3.789401631397222,3143.2799999999997,3123.94,1653.3761933534743,0.3318599996247662,1654.32,1652.7,5.44007049345418e-06,1.3667750726950456e-07,5.7e-06,4.97e-06,0.023595166163142,6.627166096802841e-05,0.0239,0.0235,635.2618328298087,4.40673095227467,644.0,625.0,658.4431017119839,1.6111491737288317,662.0,653.0,4.995568982880162,0.013278329600083487,5.03,4.96,2.560886203423968,0.028256103768715457,2.62,2.51,18.106355518630412,0.09014967960576484,18.30889,17.78444,29.380594803625375,0.1714481025827364,30.09333,28.91778,18.233197542799594,0.08437675567710078,18.43222,17.91778,28.104952406847936,0.1633087317230884,28.75778,27.70389,normal
89,12.73152027777778,0.05451308094715979,12.8499,12.6464,36047.68444444444,10.977628921486177,36069.0,36024.4,3128.898333333333,3.8870658316967455,3136.6,3117.84,1653.8026944444443,0.13204715951787652,1654.1,1653.45,5.269944444444445e-06,1.785003990140033e-07,5.52e-06,4.92e-06,0.023508333333333336,5.8652463039609734e-05,0.0236,0.0234,633.4416666666667,4.422900332786226,642.0,623.0,656.8833333333333,1.9241175671606507,661.0,651.0,4.990888888888889,0.017127699596545632,5.03,4.96,2.6152222222222226,0.00707741163799704,2.63,2.6,18.11625438888889,0.3012184303589779,18.98222,17.71222,29.304775111111113,0.3153247243220705,30.50167,28.90222,18.212634361111114,0.27268626113613414,19.01833,17.83834,28.03417577777778,0.2988336029215058,29.18833,27.65,small error
90,12.494572620320856,0.11029768265866582,12.7875,12.2775,36005.89433155081,11.972237690963144,36030.9,35985.9,3129.9471657754007,3.580846560109787,3139.96,3121.81,1653.1581711229946,0.30195751899329704,1653.97,1652.6799999999998,5.395700534759359e-06,3.646764060474568e-08,5.49e-06,5.3e-06,0.023568877005347596,5.400770085083913e-05,0.0237,0.0235,634.248128342246,4.047950577851324,642.0,626.0,657.4598930481284,1.222665143360544,661.0,654.0,4.998491978609626,0.00939119421246071,5.03,4.98,2.6738930481283423,0.027606699851182318,2.72,2.62,17.877813903743316,0.08760232940379747,18.175,17.54778,29.149603860962564,0.1957830970703555,30.32333,28.74778,18.04060244919786,0.07543804829464136,18.28556,17.68167,27.887219294117646,0.17713517755833635,28.96667,27.51556,normal
91,36804.05989863099,24481.840134188275,78846.90000000001,11.9076,136003.63067828253,48485.07782055198,213188.0,35987.299999999996,58994.39535780958,34991.93363035687,120708.0,3124.11,49000.95955818294,30643.007982950985,103583.0,1653.01,0.017437588382078404,0.019751069173513807,0.0519,5.44e-06,1.3439320255133786,2.8060240794039712,21.8,0.000503,1050.2930118232732,308.82227432871247,1380.0,-3.29,1109.9103920348475,132.60313333081163,1400.0,658.0,621.3947853142502,221.12401325482844,736.0,5.0,2.795413814561294,0.0321122313234507,2.85,2.71,22.80438324206596,3.4293635941805327,29.30722,15.39333,23.633952893590543,5.3194731171949,51.29445,15.38833,24.155561443683883,3.6866565758685677,30.45222,15.56833,25.027077871810828,6.011359023866314,53.44278,15.37833,crush down
92,18910.82948891904,36933.479416989,101835.0,0.0,247972.18181818182,14561.386387069537,266683.0,213188.0,178958.80325644504,28942.794254613636,221597.0,120708.0,161969.1225689733,30054.103270058215,208058.0,103583.0,0.07819488919041158,0.01919618849149065,0.132,0.0511,0.001890466304839439,0.0008684529367075053,0.00337,0.000501,-3.1875893260967887,0.061456864569861595,-3.01,-3.32,708.2804161013116,17.866905400909857,742.0,679.0,726.3821800090457,3.215070415923487,735.0,723.0,2.774762550881954,0.020710789581128413,2.85,2.75,15.68303920850294,0.07083735637211176,15.99,15.41945,15.721075490728175,0.06870792127840392,16.02611,15.45,15.684419063772047,0.078632964329016,16.05444,15.42167,15.636322971506106,0.06928566302297096,15.95389,15.36,notworking
